,Date,Businesses.entered
1,01/01/1996,0
2,02/01/1996,9
3,03/01/1996,0
4,04/01/1996,0
5,05/01/1996,5
6,06/01/1996,0
7,07/01/1996,0
8,08/01/1996,9
9,09/01/1996,0
10,10/01/1996,0
11,11/01/1996,5
12,12/01/1996,0
13,01/01/1997,0
14,02/01/1997,3
15,03/01/1997,0
16,04/01/1997,0
17,05/01/1997,2
18,06/01/1997,0
19,07/01/1997,0
20,08/01/1997,6
21,09/01/1997,0
22,10/01/1997,0
23,11/01/1997,8
24,12/01/1997,0
25,01/01/1998,0
26,02/01/1998,8
27,03/01/1998,1
28,04/01/1998,0
29,05/01/1998,5
30,06/01/1998,0
31,07/01/1998,0
32,08/01/1998,1
33,09/01/1998,0
34,10/01/1998,0
35,11/01/1998,22
36,12/01/1998,0
37,01/01/1999,0
38,02/01/1999,10
39,03/01/1999,0
40,04/01/1999,0
41,05/01/1999,4
42,06/01/1999,0
43,07/01/1999,0
44,08/01/1999,6
45,09/01/1999,0
46,10/01/1999,0
47,11/01/1999,8
48,12/01/1999,0
49,01/01/2000,0
50,02/01/2000,10
51,03/01/2000,0
52,04/01/2000,0
53,05/01/2000,9
54,06/01/2000,0
55,07/01/2000,0
56,08/01/2000,28
57,09/01/2000,0
58,10/01/2000,0
59,11/01/2000,35
60,12/01/2000,0
61,01/01/2001,1
62,02/01/2001,65
63,03/01/2001,0
64,04/01/2001,0
65,05/01/2001,52
66,06/01/2001,0
67,07/01/2001,1
68,08/01/2001,348
69,09/01/2001,0
70,10/01/2001,0
71,11/01/2001,1225
72,12/01/2001,6
73,01/01/2002,191
74,02/01/2002,2114
75,03/01/2002,193
76,04/01/2002,188
77,05/01/2002,2931
78,06/01/2002,119
79,07/01/2002,139
80,08/01/2002,1812
81,09/01/2002,136
82,10/01/2002,206
83,11/01/2002,897
84,12/01/2002,173
85,01/01/2003,92
86,02/01/2003,84
87,03/01/2003,149
88,04/01/2003,143
89,05/01/2003,132
90,06/01/2003,115
91,07/01/2003,131
92,08/01/2003,163
93,09/01/2003,149
94,10/01/2003,154
95,11/01/2003,129
96,12/01/2003,118
97,01/01/2004,134
98,02/01/2004,118
99,03/01/2004,172
100,04/01/2004,125
101,05/01/2004,152
102,06/01/2004,149
103,07/01/2004,141
104,08/01/2004,158
105,09/01/2004,123
106,10/01/2004,138
107,11/01/2004,139
108,12/01/2004,134
109,01/01/2005,114
110,02/01/2005,116
111,03/01/2005,154
112,04/01/2005,139
113,05/01/2005,131
114,06/01/2005,131
115,07/01/2005,115
116,08/01/2005,132
117,09/01/2005,140
118,10/01/2005,147
119,11/01/2005,159
120,12/01/2005,150
121,01/01/2006,103
122,02/01/2006,98
123,03/01/2006,142
124,04/01/2006,99
125,05/01/2006,104
126,06/01/2006,127
127,07/01/2006,98
128,08/01/2006,114
129,09/01/2006,117
130,10/01/2006,104
131,11/01/2006,138
132,12/01/2006,113
133,01/01/2007,107
134,02/01/2007,111
135,03/01/2007,114
136,04/01/2007,100
137,05/01/2007,115
138,06/01/2007,138
139,07/01/2007,111
140,08/01/2007,127
141,09/01/2007,97
142,10/01/2007,131
143,11/01/2007,126
144,12/01/2007,117
145,01/01/2008,99
146,02/01/2008,77
147,03/01/2008,106
148,04/01/2008,121
149,05/01/2008,96
150,06/01/2008,111
151,07/01/2008,107
152,08/01/2008,79
153,09/01/2008,94
154,10/01/2008,130
155,11/01/2008,76
156,12/01/2008,96
157,01/01/2009,96
158,02/01/2009,101
159,03/01/2009,112
160,04/01/2009,103
161,05/01/2009,96
162,06/01/2009,104
163,07/01/2009,149
164,08/01/2009,119
165,09/01/2009,125
166,10/01/2009,115
167,11/01/2009,108
168,12/01/2009,130
169,01/01/2010,80
170,02/01/2010,94
171,03/01/2010,82
172,04/01/2010,131
173,05/01/2010,104
174,06/01/2010,112
175,07/01/2010,119
176,08/01/2010,122
177,09/01/2010,113
178,10/01/2010,121
179,11/01/2010,112
180,12/01/2010,133
181,01/01/2011,99
182,02/01/2011,78
183,03/01/2011,116
184,04/01/2011,110
185,05/01/2011,116
186,06/01/2011,113
187,07/01/2011,108
188,08/01/2011,125
189,09/01/2011,129
190,10/01/2011,124
191,11/01/2011,105
192,12/01/2011,92
193,01/01/2012,120
194,02/01/2012,119
195,03/01/2012,105
196,04/01/2012,98
197,05/01/2012,124
198,06/01/2012,102
199,07/01/2012,127
200,08/01/2012,88
201,09/01/2012,105
202,10/01/2012,109
203,11/01/2012,100
204,12/01/2012,76
205,01/01/2013,119
206,02/01/2013,81
207,03/01/2013,93
208,04/01/2013,109
209,05/01/2013,131
210,06/01/2013,103
211,07/01/2013,102
212,08/01/2013,100
213,09/01/2013,103
214,10/01/2013,117
215,11/01/2013,110
216,12/01/2013,90
217,01/01/2014,83
218,02/01/2014,77
219,03/01/2014,87
220,04/01/2014,84
221,05/01/2014,136
222,06/01/2014,95
223,07/01/2014,91
224,08/01/2014,85
225,09/01/2014,106
226,10/01/2014,110
227,11/01/2014,82
228,12/01/2014,80
229,01/01/2015,89
230,02/01/2015,112
231,03/01/2015,127
232,04/01/2015,101
233,05/01/2015,95
234,06/01/2015,121
235,07/01/2015,103
236,08/01/2015,112
237,09/01/2015,120
238,10/01/2015,103
239,11/01/2015,102
240,12/01/2015,104
241,01/01/2016,87
242,02/01/2016,73
243,03/01/2016,73
