Date,No of Businesses Exited
1/1/1997,0
2/1/1997,8
3/1/1997,0
4/1/1997,0
5/1/1997,2
6/1/1997,0
7/1/1997,0
8/1/1997,7
9/1/1997,0
10/1/1997,0
11/1/1997,5
12/1/1997,0
1/1/1998,0
2/1/1998,3
3/1/1998,0
4/1/1998,0
5/1/1998,0
6/1/1998,0
7/1/1998,0
8/1/1998,6
9/1/1998,0
10/1/1998,0
11/1/1998,4
12/1/1998,0
1/1/1999,0
2/1/1999,5
3/1/1999,0
4/1/1999,0
5/1/1999,0
6/1/1999,0
7/1/1999,0
8/1/1999,5
9/1/1999,0
10/1/1999,0
11/1/1999,4
12/1/1999,0
1/1/2000,0
2/1/2000,3
3/1/2000,0
4/1/2000,0
5/1/2000,0
6/1/2000,0
7/1/2000,0
8/1/2000,0
9/1/2000,0
10/1/2000,1
11/1/2000,1
12/1/2000,0
1/1/2001,1
2/1/2001,3
3/1/2001,0
4/1/2001,0
5/1/2001,2
6/1/2001,0
7/1/2001,1
8/1/2001,10
9/1/2001,2
10/1/2001,0
11/1/2001,11
12/1/2001,0
1/1/2002,0
2/1/2002,19
3/1/2002,0
4/1/2002,2
5/1/2002,6
6/1/2002,0
7/1/2002,0
8/1/2002,133
9/1/2002,0
10/1/2002,0
11/1/2002,252
12/1/2002,0
1/1/2003,0
2/1/2003,417
3/1/2003,0
4/1/2003,0
5/1/2003,191
6/1/2003,0
7/1/2003,0
8/1/2003,469
9/1/2003,0
10/1/2003,0
11/1/2003,456
12/1/2003,0
1/1/2004,0
2/1/2004,410
3/1/2004,0
4/1/2004,0
5/1/2004,159
6/1/2004,0
7/1/2004,0
8/1/2004,492
9/1/2004,0
10/1/2004,0
11/1/2004,581
12/1/2004,0
1/1/2005,0
2/1/2005,419
3/1/2005,0
4/1/2005,0
5/1/2005,155
6/1/2005,0
7/1/2005,0
8/1/2005,454
9/1/2005,0
10/1/2005,0
11/1/2005,583
12/1/2005,0
1/1/2006,0
2/1/2006,375
3/1/2006,0
4/1/2006,0
5/1/2006,141
6/1/2006,0
7/1/2006,0
8/1/2006,417
9/1/2006,0
10/1/2006,0
11/1/2006,531
12/1/2006,0
1/1/2007,0
2/1/2007,377
3/1/2007,0
4/1/2007,1
5/1/2007,156
6/1/2007,1
7/1/2007,2
8/1/2007,343
9/1/2007,9
10/1/2007,12
11/1/2007,411
12/1/2007,50
1/1/2008,40
2/1/2008,49
3/1/2008,11
4/1/2008,24
5/1/2008,40
6/1/2008,51
7/1/2008,59
8/1/2008,77
9/1/2008,45
10/1/2008,92
11/1/2008,77
12/1/2008,109
1/1/2009,120
2/1/2009,108
3/1/2009,51
4/1/2009,77
5/1/2009,60
6/1/2009,104
7/1/2009,107
8/1/2009,66
9/1/2009,153
10/1/2009,140
11/1/2009,188
12/1/2009,133
1/1/2010,78
2/1/2010,64
3/1/2010,20
4/1/2010,49
5/1/2010,53
6/1/2010,96
7/1/2010,94
8/1/2010,127
9/1/2010,107
10/1/2010,173
11/1/2010,90
12/1/2010,114
1/1/2011,92
2/1/2011,120
3/1/2011,63
4/1/2011,72
5/1/2011,49
6/1/2011,98
7/1/2011,114
8/1/2011,71
9/1/2011,120
10/1/2011,97
11/1/2011,156
12/1/2011,83
1/1/2012,67
2/1/2012,60
3/1/2012,21
4/1/2012,32
5/1/2012,58
6/1/2012,124
7/1/2012,119
8/1/2012,129
9/1/2012,113
10/1/2012,148
11/1/2012,107
12/1/2012,135
1/1/2013,105
2/1/2013,142
3/1/2013,103
4/1/2013,111
5/1/2013,100
6/1/2013,122
7/1/2013,134
8/1/2013,97
9/1/2013,134
10/1/2013,122
11/1/2013,151
12/1/2013,114
1/1/2014,80
2/1/2014,97
3/1/2014,76
4/1/2014,61
5/1/2014,66
6/1/2014,138
7/1/2014,113
8/1/2014,134
9/1/2014,130
10/1/2014,117
11/1/2014,107
12/1/2014,115
1/1/2015,100
2/1/2015,133
3/1/2015,87
4/1/2015,111
5/1/2015,108
6/1/2015,113
7/1/2015,110
8/1/2015,95
9/1/2015,164
10/1/2015,111
11/1/2015,135
12/1/2015,126
1/1/2016,108
2/1/2016,140
3/1/2016,88
4/1/2016,204
5/1/2016,431
6/1/2016,569
7/1/2016,398
8/1/2016,436
9/1/2016,471
10/1/2016,544
11/1/2016,544
12/1/2016,467
1/1/2017,397
2/1/2017,554
3/1/2017,449
4/1/2017,555
5/1/2017,422
6/1/2017,489
7/1/2017,491
8/1/2017,394
9/1/2017,534
10/1/2017,515
11/1/2017,599
12/1/2017,412
1/1/2018,369
2/1/2018,452
3/1/2018,263
4/1/2018,184
5/1/2018,25
2019,1
April,1
